Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
HOU,Piggy,Sigma,50.77,82,198,403966.6895,370,146.1168956,150284.2522,16181.57,180335.691,4686.844585,59942.96742,311718.9991,181554.364,92,495,125,42880.216,125,108098.0357,243497.0735,2116,215,1824.137054,139,0.235436893,194,824,13442.7544,12360.23535,103.5715687,13.17200036,1550.510044,14381.70595,119.340042,101,45.15000127,8,12,2,0,19,1,35,4.31372549,5.098039216
GLA,SPACE,Sigma,48.48,61,119,240094.558,202,117.0815731,92898.41261,10550.63945,110742.314,3018.744703,33433.96742,217197.9282,137158.9669,79,312,110,16100.23633,47,85637.89118,139462.0354,1292,104,1107.304033,71,0.48015873,121,252,9249.444277,7753.624225,112.1596175,37.24500104,2042.16206,10024.14493,69.1302663,53,83.91900237,9,11,1,0,9,1,6,5.202312139,8.670520231
SHD,Void,Sigma,48.35,105,224,384135.647,321,130.2244361,141226.326,17717.70352,183018.5937,5303.45283,54692.43003,295167.5054,220534.0193,118,498,176,26118.36288,78,141962.2998,229431.1396,2211,170,1580.413047,115,0.236031927,207,877,15366.48346,13891.69341,114.2271451,9.447000263,2157.961063,16488.98492,121.6146424,92,215.6810062,11,20,4,1,8,2,20,6.593406593,6.95970696
WAS,Fury,Sigma,47.84,49,106,203459.4478,163,111.9462004,83077.92559,9145.624708,92983.7123,2178.045946,35918.36048,169371.6303,113062.7684,66,242,79,13711.8391,38,66550.68547,117445.1891,1185,91,987.9550295,51,0.110638298,78,705,7388.449224,6941.061203,107.9721848,6.8320002,829.5690244,8017.488407,64.28564186,52,34.664001,3,6,2,0,7,0,0,4.6875,7.8125
HOU,JJANGGU,Sigma,47.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.124000125,4.130000124,404.7400205,0,0,3.895404577,0.010204081,0,0,0,0,0,0,0,0,0,N/A,N/A
DAL,Hanbin,Sigma,45.6,26,47,89580.83675,64,98.38570881,29238.11438,3668.476923,42375.0553,859.7958221,15558.81298,76348.94431,54565.64388,34,101,37,11768.47783,22,31341.62835,58536.89008,550,16,207.3360062,29,0.380434783,35,92,3345.1141,3121.85409,109.8417484,4.998000144,463.8390134,3687.902309,28.42138017,22,43.55400123,3,1,2,0,3,0,0,5.970149254,14.92537313
SEO,ToYou,Sigma,43.9,46,98,188976.8158,151,110.6036882,69756.19475,7380.75975,92351.07832,2805.866724,32430.84991,180324.0794,120394.7582,73,228,76,11981.23754,39,72039.76365,113452.9811,1207,74,691.2270207,50,0.260969977,113,433,8074.06924,7756.079222,121.6216469,26.15000071,819.9890237,8777.968064,63.77219367,46,119.1470033,5,8,3,1,2,1,5,7.638888889,9.722222222
PAR,ELLIVOTE,Sigma,43.79,5,32,35098.74546,30,116.210441,9654.838389,2565.939731,19162.64016,382.4560986,5279.099969,35400.96905,27867.59803,16,44,13,2186.61211,6,17860.72956,24077.6481,249,19,257.1600076,6,0.09202454,15,163,1859.367056,1728.58105,123.6320497,0,246.4440072,2011.794788,13.98165811,9,24.9690007,0,1,1,1,1,0,0,11.11111111,8.333333333
ATL,Hawk,Sigma,42.1,98,189,367281.899,328,110.2569004,136834.846,15588.70189,169912.1486,6379.365731,78705.62368,326148.7289,242206.9682,136,495,167,29713.70976,58,142393.2624,219101.7333,2154,221,1941.760058,87,0.099273608,246,2478,14994.93845,13818.4544,118.9404112,34.98300098,2119.880061,16292.75682,116.1796421,85,118.9200034,6,13,2,0,9,2,36,6.95970696,8.058608059
VAL,ShowCheng,Sigma,39.97,8,22,38343.77851,23,92.61027554,13274.42195,1814.940811,20552.9148,384.5749397,8346.5,44098.42075,31625.72679,22,43,20,2101.771082,6,17867.99867,24414.20163,239,7,43.9690013,9,0.244897959,12,49,2037.426062,2169.098064,142.3371927,53.76600154,45.58500131,2251.456104,15.23915164,10,155.9530045,1,3,1,0,4,1,0,10.52631579,5.263157895
