Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
BOS,GaeBullSsi,Sigma,39.96,11,15,37406.40113,21,100.6393155,14137.32505,1256.941227,16996.66825,665.2103558,8060.979893,44366.61952,24520.22154,16,43,22,3943.905378,7,13123.52894,22862.72521,244,6,100.370003,13,0.274509804,28,102,1610.229048,1612.846047,128.2322395,0,120.7700035,1773.491917,12.57753941,10,0,0,3,0,0,1,0,0,10,6.666666667
PHI,HOTBA,Sigma,36.19,61,136,217811.0075,182,104.2193548,78008.60123,11116.78423,100915.3816,3337.982868,41771.42984,212742.8379,139183.6279,91,271,88,19284.68982,47,77399.05278,134079.6787,1234,94,968.0510289,68,0.246679317,130,527,9483.961287,8870.827259,123.1259553,60.56900172,1225.613036,10374.58004,72.04676903,54,375.4640107,1,9,1,1,4,0,9,6.741573034,5.617977528
TOR,Michelle,Sigma,35.06,47,94,194864.7602,144,121.5946203,88023.74792,8556.687112,82078.47664,1856.569118,42632.60986,171020.0663,115940.5089,60,201,55,10735.15748,33,67769.72458,102870.3892,979,73,932.7120279,49,0.204887218,109,532,7295.67722,6102.509177,116.6338408,0,1577.663046,7844.134192,52.32194304,36,76.26300218,2,5,0,2,3,0,4,10,4.615384615
SFS,Choihyobin,Sigma,34.95,54,115,256373.416,203,106.8037401,115547.3058,8843.167412,105869.6464,2279.87891,57860.82888,260606.7469,156377.082,95,294,91,17086.28727,44,88074.59439,132705.3671,1330,124,1584.607047,65,0.103515625,106,1024,10146.35531,9553.484277,126.0026665,9.996000284,1247.861036,11072.53785,75.81969921,58,120.9440035,7,5,2,0,8,2,21,6.451612903,4.301075269
NYE,BiaNcA,Sigma,34.08,16,46,110552.2846,87,121.4247537,46852.65622,3857.337596,47829.465,898.2694969,17442.20781,100410.0692,69668.08678,40,121,34,8944.855162,16,44306.58874,60446.85624,582,40,519.6570155,21,0.162601626,40,246,4856.990147,4558.788133,134.3207802,33.40700095,564.1130166,5247.407003,33.93955965,27,116.5140033,0,6,2,0,2,0,0,5.813953488,5.813953488
VAN,frdwnr,Sigma,33.51,21,48,90076.72405,78,74.6460439,36186.3243,4103.503285,41275.99716,999.0961304,15698.89611,80289.09665,67591.5117,48,110,31,5537.465832,19,38002.10686,51836.31006,522,37,281.5660083,24,0.204678363,35,171,3583.010107,3297.313095,118.0135025,0,663.9370194,4048.096793,27.94013417,19,46.33900132,2,1,0,1,4,0,6,8.219178082,9.589041096
FLA,GARGOYLE,Sigma,33.4,85,196,426808.0084,347,119.7147696,166744.8991,16051.33277,191753.7978,5172.242241,75360.89713,352792.3618,235198.7184,141,478,129,36986.35851,67,135391.1876,246247.2798,2368,168,2135.714064,103,0.109307876,229,2095,16879.78251,14918.56043,119.4491314,52.2900015,2919.956085,18258.55848,124.8946749,98,182.4850052,5,16,0,2,9,3,20,7.260726073,4.290429043
GZC,Cr0ng,Sigma,32.16,32,65,98542.41448,78,114.9675035,34495.6092,5521.765932,47264.54519,1517.033922,22847.19254,98871.84187,72939.01081,40,109,30,8118.054922,11,42870.4851,62062.20008,618,25,458.2760138,23,0.514925373,69,134,4598.700139,4029.397118,122.5775708,0.896000026,834.2110245,4973.965072,32.87222198,26,121.9910035,4,6,2,1,1,0,0,3.571428571,3.571428571
LDN,Molf1g,Sigma,31.68,33,94,186591.9469,122,88.44659304,74112.03344,7125.135941,82429.79595,2326.700558,35235.41438,163870.4922,116921.8371,83,181,59,16008.53246,32,62541.47463,107388.4515,955,71,741.3210221,45,0.156302521,93,595,7341.067222,7128.031208,120.8711441,0,841.7580246,8157.948688,58.97214974,44,22.05000064,7,4,0,0,4,0,19,4.316546763,10.07194245
CDH,Elsa,Sigma,30.54007903,47,104,175081.2585,162,114.1753122,65910.10984,8434.313072,83292.73373,1680.998598,23852.99318,157266.9512,119670.9917,68,225,63,12174.50686,31,79692.50767,102655.5257,1076,100,1308.992039,49,0.218954248,67,306,7763.921231,7362.911213,128.2143236,17.52800049,896.170026,8438.701031,57.4265886,43,189.8580053,1,4,1,0,4,3,1,3.816793893,4.580152672
BOS,punk,Sigma,26.07,22,51,119057.7916,83,82.7811948,53373.49274,4224.772964,46829.48799,1502.726557,22434.30759,103109.1634,77407.46444,52,116,33,9472.755318,13,42285.29715,61899.94368,577,43,513.9170154,25,0.378881988,61,161,4304.62213,4162.862121,123.2827235,19.99200057,522.1850153,4790.813359,33.76679231,26,8.33000024,2,5,2,0,3,0,6,4.597701149,4.597701149
CDH,lateyoung,Sigma,23.7,11,29,52902.35539,43,87.68027185,19652.1491,2566.437927,23940.54708,483,9863.120224,44543.15106,33703.17201,26,64,21,4067.43285,7,18344.83329,31057.41786,281,25,303.7980091,14,0.34,17,50,2279.687068,2226.899065,124.8515934,4.998000143,232.5300068,2525.753247,17.83636879,14,32.70100092,0,0,0,0,2,1,5,11.36363636,11.36363636
SEO,Marve1,Sigma,21.26,11,37,48352.44945,38,90.29871104,18601.45878,2652.69151,23969.19328,595.7359599,8949.099975,48254.31038,31878.3972,24,53,15,2037.720804,6,17645.56157,29244.34455,318,15,128.9010038,11,0.243478261,28,115,2167.169065,2027.391059,118.1337423,0,301.6360088,2389.518311,17.16182878,14,0,1,5,0,0,0,0,0,7.5,5
CDH,BERNAR,Sigma,21.16,21,42,94645.35914,67,92.64416947,39355.94292,3638.703825,44243.55751,895.9262142,15366.9449,74193.87155,52786.90306,42,101,34,4739.867456,16,28368.49108,53071.59518,475,29,343.9010103,24,0.163179916,39,239,3891.055118,3440.961101,118.0035999,1.337000039,770.9830228,4316.716582,29.1597977,22,78.99100226,1,3,0,0,1,1,4,10.29411765,5.882352941
PAR,Vestola,Sigma,19.71,24,46,106096.5133,89,82.43219117,42859.79328,4047.185473,46821.42162,1713.057938,19622.48145,105660.2061,71649.24897,53,117,28,9554.841942,6,39030.01862,61666.04525,624,33,531.6270158,29,0.273127753,62,227,4368.906132,4289.028125,124.7558763,11.26800033,494.0970145,4897.708468,34.37936755,26,41.87400121,0,5,1,0,3,0,0,9.411764706,2.352941176
NYE,Kalios,Sigma,19.06,16,37,70767.74766,67,98.49576158,29099.0906,3140.022268,29935.75891,995.3402863,10399.71162,62244.98368,44947.18252,29,88,21,5362.88695,9,25997.68899,39255.25842,369,30,392.2590118,17,0.290780142,41,141,2856.377086,2818.046082,125.4221508,14.06000039,251.6120073,3143.814328,22.46848793,17,137.2460039,0,3,0,0,1,1,8,15.68627451,3.921568627
