Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
PKF,PEPPI,Sigma,37.87136025,20,0,0,0,0,0,0,0,0,0,0,66772,26,63,22,0,8,0,27776,0,0,0,0,0,0,0,0,0,0,0,0,1633,8,8,0,0,0,0,0,0,0,0,N/A,N/A
DRE,LIGE,Sigma,37.77631668,35,0,0,0,0,0,0,0,0,0,0,110706,36,104,41,0,11,0,70379,0,0,0,0,0,0,0,0,0,0,0,0,4337,22,21,0,4,0,0,0,0,0,0,N/A,N/A
GZC,Piggy,Sigma,37.52760669,16,33,41114.85743,40,103.2722031,11502.17455,2854.166483,20814.67013,816.2493935,7683.782578,43929.79698,36950.80175,15,39,10,4053.122902,9,23755.51433,28538.20891,134,13,184.6700057,11,0.618181818,34,55,1549.083046,1462.964041,119.2289443,7.99400022,179.8220051,1697.072479,12.2702088,11,127.3300035,1,4,0,0,1,0,0,6.451612903,N/A
GLA,Marve1,Sigma,37.21311217,0,0,0,0,0,0,0,0,0,0,0,6726,4,7,6,0,1,0,6074,0,0,0,0,0,0,0,0,0,0,0,0,362,2,2,0,0,0,0,0,0,0,0,N/A,N/A
VEG,Vulcan,Sigma,37.06091638,11,34,66244.69332,30,90.190164,16550.03778,3211.834508,38799.76321,1389.591428,15514.60011,75788.1681,78752.46039,31,46,20,3168.411829,6,52830.17742,45964.60097,268,18,605.7270186,4,0.247663551,53,214,2795.895084,2525.969071,127.2534162,46.13500127,506.2270143,3090.029517,19.84991167,16,214.371006,1,0,0,0,1,0,0,5.660377358,3.773584906
BOS,Kalios,Sigma,36.6260131,12,30,49923.7367,41,80.3933024,20603.45855,2793.064284,23016.62031,1364.673348,6407.72271,40462.20225,64713.15281,20,61,20,1665.144119,11,28900.48659,42729.50206,138,8,151.9510047,9,0.5,47,94,1607.866048,1497.303042,84.10617142,105.3800029,168.6310048,2603.683554,17.80253478,17,0,0,5,0,0,1,0,0,7.407407407,3.703703704
GLA,Danteh,Sigma,36.26241628,3,15,36110.91434,7,91.93925275,13893.12698,1355.087907,18026.73555,659.6472015,5306.645058,36346.68507,40709.83674,16,19,13,1878.409584,5,30519.67286,21919.88025,117.5,4,288.2730089,1,0.2,21,105,1471.028044,1321.536038,136.6794566,6.19300017,269.7840077,1626.490085,9.66887103,8,130.0080036,0,2,0,0,0,0,0,11.11111111,7.407407407
BOS,smurf,Sigma,33.33272037,1,5,14037.26594,3,157.2736714,7047.951546,574.3731155,5764.451396,75,1223,14230.03983,12368.99252,3,5,2,473.6899414,0,10491.04755,6887.514453,33.5,3,191.0580059,0,0.25,2,8,471.8210141,363.5130101,134.3832595,0,129.9200037,501.5883654,2.70504683,2,53.57100147,0,0,0,0,0,0,0,0,14.28571429
SEO,Void,Sigma,32.4237793,7,6,14813.35316,13,57.14855727,5176.68343,482.4858723,7456.520472,341.3737259,669.625,9135.067456,41838.50905,9,41,14,1153.392853,6,10063.23283,28951.77292,49,9,165.4240051,2,0.535714286,15,28,514.3370154,445.2360127,45.2099637,17.50700049,70.295002,1673.201047,9.84818337,9,0,1,0,0,0,0,0,0,0,11.11111111
DAL,Hanbin,Sigma,32.02685075,12,12,20246.16621,15,51.88015539,8359.950525,957.1329136,8405.184735,350.0826531,1725,16926.59072,40748.56987,13,38,16,1336.265327,5,13889.55389,23581.66563,58,6,142.7510044,3,0.388888889,14,36,674.4420201,663.8920188,73.1285829,0,63.22300184,1552.338208,9.0784204,8,0,1,1,0,0,0,0,0,0,14.28571429
O2B,prot3ct,Sigma,29.76478449,8,0,0,0,0,0,0,0,0,0,0,23847,10,20,6,0,2,0,14828,0,0,0,0,0,0,0,0,0,0,0,0,1004,6,6,0,1,0,0,0,0,0,0,N/A,N/A
NYE,Kellan,Sigma,29.37414115,14,15,25765.10281,13,65.77446352,12364.3338,1307.712309,10873.28272,470.8714294,3437.387527,21310.36219,54104.50849,13,53,22,738.5714264,7,12633.1442,41145.43789,68.5,6,182.5110056,3,0.485714286,17,35,855.0680258,784.2380223,52.41557688,53.73900151,120.3510035,2400.872883,14.96192676,13,26.28500074,0,1,0,0,0,0,0,0,6.666666667
VAN,punk,Sigma,29.01214555,21,21,43124.39737,31,50.58068903,17168.60047,1894.4218,21060.00556,907.465025,4940.677666,40585.98425,98449.42752,32,88,33,1466.788368,12,32598.94581,54551.68075,151,19,252.3930078,4,0.545454545,36,66,1618.582049,1397.87004,63.49225804,155.1820043,325.9320094,3735.810202,22.01638567,18,0,0,1,0,0,0,0,0,3.03030303,12.12121212
TOR,Coluge,Sigma,27.76541755,33,24,56630.19058,31,66.57634575,18490.95679,2534.813974,30078.25703,952.0203285,7121.073799,51556.46834,140043.7406,32,129,45,3897.717896,13,38394.09003,103605.8092,214,16,599.8510185,5,0.267175573,35,131,2130.443064,1986.141056,54.7591735,50.00500139,176.8100051,6196.224588,36.27047176,34,63.35600178,2,2,0,0,0,0,0,5.405405405,5.405405405
SEI,MAG,Sigma,26.57552593,1,1,3789.833468,2,139.4200042,1523.114057,1,1825.720833,4.99857903,491.000061,2567.908222,2986.723915,1,2,1,325,0,2126.157792,19103.71941,11.5,1,18.05300056,1,0.5,1,2,139.4200042,144.9750042,139.6548203,0,0.20300001,1159.950681,7.03809524,7,0,0,1,0,0,0,0,0,0,N/A
VEG,ToYou,Sigma,21.8113102,8,5,4740.975153,5,21.73242921,840.172369,341.5534763,3100.891291,21,163.125,3411.838987,50363.77512,14,21,7,437.358017,3,1924.43452,30032.80278,20.5,4,6.22300019,1,0.071428571,1,14,304.254009,226.4120064,21.48416403,9.05800025,93.1770027,1784.090587,10.53855324,8,0,0,0,0,0,0,0,0,20,N/A
ATL,D0NGHAK,Sigma,21.47437486,1,1,3772.573721,4,182.3420055,1869.666109,125,1702.907612,0,588.5,3406.20322,3436.736393,1,3,0,75,0,2712.581372,1902.907612,9.5,2,53.10900164,1,0,0,12,182.3420055,154.1390044,25.40060881,0,30.43600086,192.6858818,6.06831929,6,28.58800081,0,0,0,0,0,0,0,0,N/A
VAL,Krawi,Sigma,20.38352644,9,15,31221.93861,7,41.261779,11836.74915,1334.799969,15841.2213,312,6034.715225,33345.04334,76983.23194,27,33,17,1632.5,4,26467.67084,41254.52127,97.5,3,189.1350058,1,0.323529412,11,34,1114.068033,987.8130279,61.4370668,0,213.8050061,2664.307727,16.0784536,14,0,0,0,0,0,0,1,0,9.090909091,9.090909091
