Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
O2B,Attack,Sigma,56.63437797,2,12,25937.47713,15,260.7820078,8025.975904,1011.60371,15137.45925,372.2753525,2545.625008,22371.79445,20680.25395,4,25,12,1273.162907,4,16619.01664,17794.50122,93,1,68.76100211,2,0.238095238,15,63,1043.128031,891.2470249,116.9739144,23.98200066,165.8280047,1082.038307,7.61919467,7,0,1,1,0,0,1,1,0,0,22.22222222
FLA,Someone,Sigma,50.45339803,61,70,98218.89053,98,149.0498122,27843.19457,6540.771198,54508.0981,2814.137033,14492.66013,91113.03883,132505.4755,26,182,65,5043.289944,30,70270.30851,99544.29628,381,37,913.9440282,20,0.553763441,103,186,3875.295116,3597.894102,86.02556957,39.97100112,388.2400111,6110.567471,41.82354293,36,211.6080058,3,5,0,1,2,0,0,7.246376812,11.5942029
HOU,GARGOYLE,Sigma,48.91345123,15,27,42114.55863,27,715.6775215,13708.60303,2532.745274,23019.35908,482.278923,5323.510345,35906.49841,27887.92601,2,34,13,1949.045685,5,22773.52189,27983.42896,138,6,208.9500065,6,0.229885057,20,87,1431.355043,1153.197033,103.3466936,0,264.6120076,1453.560634,11.15852857,9,142.945004,0,4,0,0,0,0,0,0,20
WAS,MirroR,Sigma,47.14859481,10,27,45494.58992,40,150.2800045,19886.73985,2458.56274,19922.14139,610.07827,8581.470078,38217.10912,38128.56309,11,42,13,1994.966408,10,25585.15724,24985.74881,125,15,373.3680115,11,0.153333333,23,150,1653.08005,1585.198045,135.001696,39.65600111,137.3570039,1765.995932,11.74206023,10,71.19700198,1,3,0,0,1,0,0,11.11111111,7.407407407
SEI,Poko,Sigma,46.6498071,6,0,0,0,0,0,0,0,0,0,0,16607,2,18,5,0,5,0,10291,0,0,0,0,0,0,0,0,0,0,0,0,704,4,4,0,0,0,0,0,0,0,0,N/A,N/A
SHD,Fate,Sigma,43.16417986,7,0,0,0,0,0,0,0,0,0,0,12237,2,16,3,0,2,0,7322,0,0,0,0,0,0,0,0,0,0,0,0,472,2,2,0,0,0,0,0,0,0,0,N/A,N/A
SFS,Max,Sigma,43.13035406,16,0,0,0,0,0,0,0,0,0,0,63336,16,68,27,0,13,0,44931,0,0,0,0,0,0,0,0,0,0,0,0,2786,17,15,0,0,0,0,0,0,0,0,N/A,N/A
ATL,Hawk,Sigma,41.55115477,14,19,23713.56686,16,52.26581407,6366.811543,2041.293028,13071.52894,407.8998184,1953,22171.28638,60667.85935,16,63,26,1232.853123,8,16182.34526,40670.80793,81,7,84.11900259,2,0.185185185,15,81,836.2530251,648.1450183,107.3979265,0,217.1080062,2394.877391,6.03498633,5,0,1,2,0,0,1,0,2,6.666666667,13.33333333
HOU,FEARLESS,Sigma,41.1515005,2,0,0,0,0,0,0,0,0,0,0,11439,4,8,5,0,3,0,6327,0,0,0,0,0,0,0,0,0,0,0,0,514,3,3,0,0,0,0,0,0,0,0,N/A,N/A
LDN,Hadi,Sigma,39.18622643,6,17,24242.10139,2,92.73344724,10658.82444,1381.055725,10253.05204,401.648571,3957.880066,26213.83844,20324.81662,9,12,10,1254.642853,1,13626.49486,13290.39919,68,9,239.1350074,0,0.291666667,14,48,834.6010252,750.0320214,133.2035215,0,152.2290044,918.5167847,5.63072217,5,0,0,1,0,0,0,0,0,0,14.28571429
SHD,Fleta,Sigma,38.60246003,9,22,32396.63632,23,129.9027312,14107.73549,1936.700011,14662.98906,288.4775999,4071.27504,29747.26154,31045.67555,11,26,8,1162.5,6,21989.88198,18050.66667,97,7,330.3880102,5,0.063348416,14,221,1428.930043,1333.750038,148.4481806,0,183.0630052,1541.480214,8.98461694,6,107.617003,0,2,0,0,1,0,0,7.692307692,3.846153846
SPG,Mealgaru,Sigma,37.93879614,3,0,0,0,0,0,0,0,0,0,0,4685,1,4,2,0,0,0,2253,0,0,0,0,0,0,0,0,0,0,0,0,166,1,1,0,0,0,0,0,0,0,0,N/A,N/A
