Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
FLA,GARGOYLE,Sigma,50.3015515,336,645,1288420.961,1005,139.0159835,563229.718,52519.37417,548461.9262,19417.03148,236058.736,1196221.567,666481.0925,339,1534,518,83976.72152,226,386326.6799,697173.4692,6907,583,5941.148177,210,0.139079178,873,6277,47126.41842,39655.92715,111.8891039,214.7480061,9683.781283,50456.31111,354.4217066,265,1710.143049,15,70,10,11,47,12,7,4.642857143,8.69047619
PAR,Hanbin,Sigma,49.26288663,304,496,958253.9226,857,112.2825345,393551.0062,39619.60206,412108.695,17076.3516,180238.4821,1007832.233,582566.8819,305,1282,420,72362.88321,199,333646.8447,531160.3099,5517,493,4426.423131,271,0.622201493,667,1072,34246.17302,31231.2479,110.9729868,65.54600183,5087.024148,37287.72896,281.4310833,218,331.9610093,17,57,12,5,48,3,22,4.613095238,8.035714286
ATL,frdwnr,Sigma,49.17792739,6,13,22328.68237,17,158.4716047,8277.398212,1027.734451,10197.70594,128,4428.649872,21998.34516,11125.74529,5,28,11,2035.552498,3,6790.843895,13388.99289,143,11,113.6750033,0,0.193548387,6,31,792.3580237,734.411021,104.6373606,0,85.17400243,845.8014256,7.018630981,5,44.59600124,0,0,0,0,1,0,1,7.692307692,23.07692308
SFS,smurf,Sigma,48.58903148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.586000168,5.586000166,437.942398,0,0,4.868495464,0.012755102,0,0,0,0,0,0,0,0,0,N/A,N/A
PAR,BenBest,Sigma,48.43276072,3,8,15706.94768,12,178.348672,6827.681906,738.8934879,7215.372282,0,1055,7309.367708,4483.323607,3,20,8,925,1,2949.729672,8879.26577,88,10,80.00200239,0,1,1,1,535.0460161,530.3820155,114.0026156,0,17.80400052,561.5820196,4.652367075,4,0,0,0,1,0,1,0,0,0,11.11111111
SEO,Gesture,Sigma,46.68689538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.890000056,1.890000056,740.8801405,0,0,1.949132383,0.00255102,0,0,0,0,0,0,0,0,0,N/A,N/A
SFS,Choihyobin,Sigma,46.43680966,343,597,1164601.325,1000,114.5905601,495724.1877,48390.19483,491757.0122,17102.5438,225534.5335,1233941.39,683364.5399,397,1469,467,92671.00136,232,391510.5853,644887.5626,6223,600,6200.417185,216,0.17033543,650,3816,45492.45237,41146.4292,119.8733216,219.4400062,7089.504207,49343.85414,343.2492623,256,1184.866034,21,58,7,2,45,1,6,7.70156438,6.859205776
SHD,Void,Sigma,45.81334167,350,564,1105327.442,943,130.3622189,452888.9831,46821.25947,492950.3002,11418.10732,160495.167,1009920.181,575502.258,321,1364,418,79316.54719,204,347812.8716,626133.1165,5988,447,3903.149117,194,0.198802907,465,2339,41846.27226,37818.3781,112.5237582,50.49700145,5973.380176,44978.48255,336.0923835,266,1235.755035,18,45,13,3,33,4,6,6.621621622,8.378378378
PHI,SADO,Sigma,44.87078829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069000002,0.070000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A
PHI,Fury,Sigma,43.66839532,159,345,665068.3373,504,155.7223554,303793.2161,29157.82705,270106.0869,5068.664401,134705.3418,621833.0737,314754.145,154,734,229,44347.329,114,184594.0759,344928.3662,3147,302,2980.375089,154,0.100930916,206,2041,23981.24273,21308.13162,115.5004096,4.998000143,3557.377104,25511.7215,184.4853338,148,419.809012,8,26,6,1,20,4,9,6.730769231,6.25
