Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
NYE,HOTBA,Sigma,43.35561059,104,187,420987.9586,323,115.0392337,182230.5894,15842.96974,174749.8164,6777.402,74245.93845,391746.9186,216406.4062,139,479,153,32814.07506,73,116920.8682,227577.9455,2100,160,1676.80305,89,0.59453303,261,439,15990.45349,15215.46645,119.6952019,13.05300037,1688.01405,17339.34868,127.1184326,93,399.0410114,4,16,4,3,15,1,7,6.993006993,7.342657343
SEO,Michelle,Sigma,42.82229173,31,78,111771.5378,79,139.1028899,32701.00464,6179.272925,61930.0847,962.3395005,12468.83203,108833.1714,69341.75818,35,132,53,6614.833124,25,44441.59736,73652.51634,751,41,285.8590085,35,0.144781145,43,297,4868.601147,4267.362124,110.8799833,4.998000147,776.8470228,5174.246055,38.48631645,31,167.4720048,1,5,1,0,2,1,3,3.529411765,7.058823529
GLA,SPACE,Sigma,42.22494797,229,423,914337.959,746,111.1773389,415067.0034,35091.8261,357594.6893,13675.20702,154822.8922,920885.4857,525453.6097,295,1103,353,67194.79002,145,315402.1487,466308.3637,4360,422,4285.605127,174,0.494505495,540,1092,32797.31498,29243.49785,119.1526392,111.8720031,5652.962165,35692.09145,245.4288722,178,856.2910242,11,33,4,4,29,4,28,6.976744186,8.637873754
LDN,BERNAR,Sigma,41.77146233,117,297,556115.5583,389,136.7627291,233956.1473,24884.2465,236725.6499,6105.004936,107118.5913,567709.2087,312344.5868,160,561,172,39325.32565,94,186743.8625,301641.7537,2648,247,2450.486073,104,0.30171278,229,759,21882.03666,19106.55556,120.5033538,173.271005,3751.02211,23386.46551,158.5562141,117,552.6830158,12,17,5,0,14,2,8,6.76056338,8.450704225
HZS,Ria,Sigma,41.23844002,51,86,153873.8834,152,119.3002036,66134.38712,6917.145829,66429.57472,1618.366732,39799.57496,182985.2544,101940.2918,60,208,56,11175.48797,21,58047.26263,86140.57526,731,72,610.3820182,0,0.407185629,68,167,7158.012217,6658.096195,135.121346,40.52900117,929.7890273,7718.19514,49.27493985,32,125.6470036,2,8,2,0,6,0,0,8.196721311,11.47540984
ATL,Hawk,Sigma,41.02096099,292,532,1139232.878,911,108.4181309,495070.4468,45455.06524,479577.4275,16472.26281,241227.7354,1065909.944,688693.4279,376,1315,403,82003.64385,198,385275.6571,605983.0078,5971,502,5422.077161,215,0.160209424,612,3820,40765.21722,36293.40605,115.7114779,204.3250057,7151.519208,44452.04829,313.6543297,236,1107.027031,9,47,10,1,27,3,15,5.076142132,7.614213198
CDH,ameng,Sigma,40.66555289,0,0,110,0,0,110,0,0,0,0,899.0000019,127.774622,0,0,0,0,0,63.86438727,0,0,0,0,0,0,0,0,27.44600084,27.44600082,398.4752829,0,0,27.25182068,0.068877549,0,0,0,0,0,0,0,0,0,N/A,N/A
SEO,Marve1,Sigma,39.83360016,272,545,917492.7567,739,114.0440034,363779.1856,43517.55135,424659.9272,10651.76314,125807.8814,843237.329,524331.4976,332,1129,389,62028.53701,153,319255.6679,537116.4439,5347,429,3667.41111,168,0.35380385,386,1091,37862.60913,35114.39902,117.4206624,189.1680053,4946.250144,41050.72058,299.0478704,228,1036.942029,39,36,3,1,25,4,9,6.966618287,6.095791001
GZC,Cr0ng,Sigma,39.82065985,238,405,802407.5207,596,147.7267201,362370.6103,33835.57878,326485.4775,9584.451562,119912.0247,735638.8388,440399.9615,218,906,308,53179.24845,118,272475.5325,421737.0827,3872,373,2832.033085,155,0.615136876,382,621,32204.42497,27506.87781,121.6954464,138.452004,6103.37418,34373.47868,226.0304607,170,799.483023,15,28,3,2,20,7,7,6.148282098,7.233273056
HOU,MekO,Sigma,39.50116037,172,290,741404.533,530,112.7118794,354072.8572,24533.78587,288670.5874,6209.045294,125119.3003,790569.1949,430177.9112,234,762,230,52196.43433,128,256252.2579,365853.9972,3577,288,2923.101087,134,0.156368222,248,1586,26374.57979,24694.85371,120.8418505,22.80700064,3299.316096,28615.22613,204.3567987,153,693.6060197,4,22,4,2,16,1,15,4.60251046,6.90376569
BOS,punk,Sigma,39.18808199,136,274,520413.1944,375,109.078138,231433.9086,23105.35895,213751.7898,5262.500665,97502.24347,625279.4622,330803.6094,193,545,168,36907.85823,82,192871.2392,273962.2525,2557,243,2600.317077,120,0.211462451,214,1012,21052.08064,18362.66854,125.3178246,47.95100137,4094.79212,22911.83569,146.5287846,110,347.93101,6,22,5,2,15,2,8,7.591623037,6.544502618
DAL,NotE,Sigma,38.89305995,233,400,880119.5478,791,98.69321936,365891.0346,33632.39922,380576.2378,8082.810569,170605.2168,872491.1477,558171.2607,342,1124,332,73813.43198,132,322472.6538,490350.0869,4738,428,3959.277118,145,0.257093723,299,1163,33753.08102,30716.5389,119.8369982,243.7620069,5481.65816,37018.02955,256.3193284,194,943.578027,12,34,5,1,28,2,6,7.866868381,8.472012103
TOR,Nevix,Sigma,37.88330082,229,471,862952.4563,681,93.46244539,396389.4072,39495.48301,338589.81,8693.072713,189110.6431,1036476.618,558251.3219,357,984,300,57955.94476,119,302105.5515,434600.9052,4301,474,4563.249136,165,0.512012012,341,666,33366.093,30273.89288,127.6006943,52.82500149,5826.056171,36835.404,237.2549228,175,870.5900248,16,20,5,3,28,0,13,7.668231612,8.450704225
VAN,KSAA,Sigma,37.65869611,200,369,768483.4385,606,89.71057815,367394.7619,31276.41556,296579.9616,9452.623409,166787.4754,755772.225,482495.5986,318,856,246,50619.91337,123,258074.4705,383775.8288,3574,377,3996.632119,180,0.206235012,344,1668,28527.96385,26487.14477,124.7055757,130.8410037,4510.709131,31664.78006,212.3974379,160,709.8900199,8,27,1,4,32,2,10,6.776556777,5.677655678
WAS,ELLIVOTE,Sigma,37.21049136,20,47,73184.08453,43,61.80139315,27208.72227,3390.837053,34526.88991,1285.074448,17079,77747.4684,67347.64939,46,75,31,5975.092042,21,35534.21337,45187.52743,498,37,512.457015,0,0.12173913,42,345,2842.864085,2809.11808,112.2332265,0,374.7420109,3270.307421,25.02929095,19,13.64900038,0,4,0,1,0,0,1,16.66666667,6.666666667
GLA,Bischu,Sigma,36.80612507,2,2,6490.699398,12,0,2817.955937,150.3873386,2895.571171,39,905,5328.360919,2685.321514,0,13,1,462.5859833,4,2161.2288,3547.544493,39,2,16.92600051,6,0.333333333,1,3,208.7330062,203.2900059,105.5640092,0,0.593000017,209.2917911,1.925751091,1,0,0,0,0,0,0,0,0,0,N/A
GLA,OGE,Sigma,36.70500188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414000043,1.414000042,554.2881052,0,0,1.94715023,0.00255102,0,0,0,0,0,0,0,0,0,N/A,N/A
CDH,lateyoung,Sigma,36.57488854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.100000064,2.100000063,411.6000208,0,0,2.916197538,0.005102041,0,0,0,0,0,0,0,0,0,N/A,N/A
HZS,QoQ,Sigma,36.17509703,91,211,486461.2445,279,86.61243736,222895.7628,17319.31192,193419.0976,7935.44463,79982.41733,443918.3014,297913.9948,184,423,142,33984.36948,51,172353.9563,250217.3851,2555,181,2096.447062,80,0.18623962,314,1686,15936.68847,15137.91143,113.0797045,48.80800136,2219.516064,17771.50092,133.8693933,103,482.9000136,4,19,4,2,8,3,3,11.14982578,5.574912892
BOS,Mouffin,Sigma,35.71627157,10,37,42459.10216,16,99.26411411,11983.51235,2384.358805,23765.5538,338.5,10466.36247,48874.96097,22453.31209,18,32,16,2767.458021,6,9779.983136,29255.87063,331,14,184.2610055,0,0.105633803,15,142,1786.754054,1615.652047,115.0082822,9.996000287,290.5310085,1952.559931,14.0481365,12,81.75900235,2,0,0,0,0,0,0,8.823529412,5.882352941
SHD,Geguri,Sigma,35.67876168,5,5,5133.822349,9,121.2500037,2432.172108,341.2710619,1696.275877,186,323,6279.622645,2455.670998,2,12,3,393.103302,2,1369.753385,2463.374564,23,7,28.11200084,5,0.24137931,7,29,242.5000074,230.7820068,153.4677001,0,24.26100072,262.8362347,1.503782272,1,0,0,0,0,0,0,0,0,33.33333333,N/A
NYE,BiaNcA,Sigma,35.67750642,39,61,121462.5033,91,92.90750281,58862.7962,4516.806593,49669.73355,1551.75124,17110.92892,116889.5397,89192.83109,54,130,39,4668.875654,13,54566.11614,57990.4611,616,58,696.2220208,30,0.312195122,64,205,5017.005152,4712.743138,130.9634974,60.32200172,726.7330214,5534.151875,35.98516556,24,23.14200067,1,4,2,0,3,0,0,5.319148936,8.510638298
SEO,ToYou,Sigma,34.14731549,13,38,76835.99367,51,109.4962532,29084.5958,2961.953491,36591.21181,1209.975071,7490.90026,69255.85897,45812.34951,28,74,23,5873.982483,10,27907.81188,46032.12285,462,24,279.4200083,19,0.692307692,54,78,3065.895091,2766.200079,112.1792814,52.53300146,496.4360144,3339.390713,24.65874308,19,0,0,2,1,0,0,0,1,9.433962264,11.32075472
CDH,Elsa,Sigma,33.72452876,111,225,548951.0204,276,121.0340796,257942.0526,18828.7782,221126.4818,2841.596758,58600.46552,516811.8516,262209.6673,171,423,147,39322.53363,76,155350.6914,279641.7287,2711,144,1480.964044,38,0.121296296,131,1080,20696.82762,18795.71054,123.3323633,60.53800168,3061.772089,22319.56772,152.3988517,114,545.0820154,4,11,0,0,7,0,10,4.451038576,5.934718101
VAL,Mcgravy,Sigma,33.06742593,172,328,692716.8382,613,97.00846913,307976.6566,26899.48558,282686.5975,8523.919766,114620.6324,675139.1026,401627.3627,281,858,245,48969.21394,116,226123.7823,363297.3148,3416,325,3105.442093,132,0.159574468,345,2162,27259.37983,25843.61976,125.2549908,96.35500277,3524.927104,30017.76434,206.3280641,156,828.8160238,10,23,5,0,16,7,18,7.915057915,6.370656371
PHI,Poko,Sigma,29.74830371,38,51,118923.3444,120,120.9500537,49212.78704,4603.880465,53930.63345,764.278307,17576.9129,130027.2213,75423.07058,40,162,42,7167.723101,15,48267.44633,65776.90942,621,61,605.5200181,24,0.731707317,30,41,4838.002147,4416.731129,118.158245,39.63300114,690.0090204,5211.107135,37.37979631,25,48.42300137,0,4,0,0,2,1,0,5.882352941,4.705882353
BOS,brussen,Sigma,29.35170434,28,55,126000.5774,89,86.08468829,55376.98553,4155.332382,56517.80849,725.1450043,25581.16287,133638.0612,97950.75121,70,136,47,6920.406657,14,53343.51725,68318.69254,739,66,769.1820227,0,0.094276094,28,297,6025.92818,5444.742157,137.4989913,30.34800083,1153.082034,6707.992586,39.59841527,25,128.9020036,2,4,2,0,3,1,2,12.03703704,4.62962963
WAS,JJANU,Sigma,29.1931744,114,231,580849.356,370,84.7145927,278030.5428,19222.89138,227632.1617,5387.593815,109238.2568,564190.6233,358014.9259,244,521,150,39263.5719,77,194852.7243,288727.3516,2734,184,2223.528066,121,0.173415493,197,1136,20670.36062,19718.44257,121.8318649,71.00400198,2792.746082,23047.02499,161.8496326,127,368.4870104,1,11,6,1,12,3,15,8.59375,6.162464986
SFS,super,Sigma,28.07546265,0,2,3630.063424,2,118.6775036,1553.180801,177.6528101,1669.229813,30,1750.5,9600.13621,3854.18094,2,3,1,200,0,2379.337063,1856.882623,17,1,13.53100041,0,0.1,1,10,237.3550072,189.1100055,163.1323893,0,63.92400187,257.9445444,1.159242541,1,56.39200163,0,0,0,0,0,0,0,50,N/A
GZC,Rio,Sigma,21.67843315,1,4,8741.929661,5,63.25222415,2884.065426,280,4735.766826,30,2152.699985,15030.25304,8919.795028,9,6,1,750,0,4221.227761,5575.766826,49,0,42.42000128,1,0.5,1,2,569.2700173,567.7570167,150.0329312,0,80.7470024,652.1504985,3.784215987,1,0,1,0,0,0,0,0,0,10,N/A
LDN,Clestyn,Sigma,21.01715812,8,16,27106.56334,13,87.30047323,8852.636849,1154.164843,14174.5492,355,4144.699985,31063.15436,20397.6178,17,17,4,1897.101391,2,11572.28686,17195.81543,189,5,68.22200204,7,0.302325581,13,43,1484.108045,1343.700039,137.5592446,21.98000063,275.4450081,1645.91907,9.768155122,6,56.07000158,0,0,0,0,0,0,0,8,4
HZS,SASIN,Sigma,18.42207367,18,32,100463.7508,71,92.41918461,48515.70057,2310.172182,39667.87077,822.0499992,26055.48701,126104.7789,72606.0853,55,91,20,7019.143261,13,37428.8137,49709.23621,467,25,340.2850101,8,0.402597403,31,77,5083.055153,4735.439138,150.5407737,15.70200045,784.4630231,5606.330088,31.45618972,21,157.2520045,2,1,1,0,1,1,2,10.30927835,2.06185567
